,magnitude,depth,cdi,mmi,sig,alert
1135,7.47,26.0,8.0,7.0,-112.0,yellow
1155,6.7,14.0,8.0,7.0,-63.0,yellow
1054,6.76,14.0,8.0,7.0,-67.0,yellow
527,7.35,14.0,8.0,8.0,-55.0,orange
950,7.31,9.0,8.0,9.0,17.0,red
289,7.8,664.0,6.0,3.0,127.0,green
51,6.9,20.0,5.0,4.0,-30.0,green
1113,6.77,21.0,8.0,7.0,-124.0,yellow
443,7.0,20.0,8.0,7.0,-9.0,orange
962,7.2,9.0,9.0,8.0,87.0,red
1207,6.5,8.0,6.0,7.0,-68.0,yellow
1265,6.5,11.0,7.0,7.0,-45.0,yellow
87,6.8,22.0,5.0,4.0,-52.0,green
1255,6.9,9.0,8.0,8.0,118.0,yellow
1263,7.3,22.0,9.0,7.0,8.0,yellow
1176,6.83,83.0,7.0,6.0,-99.0,yellow
609,6.9,33.0,8.0,8.0,-86.0,orange
39,6.6,12.0,7.0,4.0,-80.0,green
1092,7.1,23.0,7.0,7.0,-1.0,yellow
341,6.6,10.0,0.0,6.0,-98.0,green
1192,7.11,17.0,8.0,7.0,-32.0,yellow
1160,6.97,114.0,6.0,6.0,43.0,yellow
1244,6.72,12.0,7.0,7.0,-67.0,yellow
168,6.9,34.0,9.0,8.0,-88.0,orange
95,6.8,112.0,6.0,6.0,67.0,green
496,7.28,13.0,9.0,8.0,13.0,orange
1295,6.87,11.0,9.0,7.0,13.0,yellow
1062,6.77,13.0,7.0,7.0,-69.0,yellow
1082,6.5,9.0,6.0,7.0,-104.0,yellow
982,7.2,9.0,9.0,8.0,79.0,red
705,6.73,13.0,8.0,8.0,-40.0,orange
236,7.2,16.0,6.0,5.0,31.0,green
893,7.71,9.0,8.0,8.0,-2.0,red
120,7.1,8.0,9.0,9.0,110.0,yellow
207,6.6,17.0,6.0,7.0,-97.0,yellow
805,6.68,13.0,8.0,8.0,32.0,red
1021,7.2,9.0,9.0,8.0,32.0,red
606,7.16,10.0,9.0,8.0,-1.0,orange
1168,7.84,22.0,8.0,8.0,38.0,yellow
297,7.5,55.0,7.0,8.0,101.0,green
652,6.77,59.0,8.0,7.0,60.0,orange
1,6.9,25.0,4.0,4.0,-33.0,green
333,6.9,20.0,0.0,5.0,-36.0,green
960,7.55,13.0,8.0,9.0,-11.0,red
1286,7.81,129.0,8.0,7.0,-43.0,yellow
733,7.2,10.0,9.0,8.0,26.0,red
1283,7.34,21.0,8.0,7.0,-31.0,yellow
717,7.53,68.0,9.0,8.0,82.0,orange
197,6.5,9.0,9.0,8.0,-28.0,yellow
1222,6.51,10.0,6.0,7.0,-110.0,yellow
137,7.0,60.0,5.0,5.0,35.0,green
166,6.5,529.0,5.0,3.0,-25.0,green
100,6.5,12.0,8.0,8.0,-126.0,green
1134,6.7,40.0,7.0,7.0,118.0,yellow
1050,6.82,13.0,8.0,7.0,-79.0,yellow
67,7.0,43.0,7.0,7.0,28.0,yellow
672,7.06,20.0,8.0,8.0,66.0,orange
249,6.7,24.0,7.0,6.0,-77.0,green
361,6.9,9.0,0.0,5.0,-36.0,green
278,7.0,28.0,8.0,7.0,31.0,green
317,7.1,45.0,4.0,6.0,11.0,green
688,6.79,58.0,8.0,8.0,66.0,orange
671,8.25,21.0,9.0,8.0,-90.0,orange
53,7.5,47.0,9.0,6.0,100.0,green
405,6.7,11.0,0.0,6.0,-77.0,green
1040,6.99,123.0,6.0,6.0,51.0,yellow
1146,7.62,117.0,8.0,7.0,-57.0,yellow
300,6.7,22.0,7.0,7.0,-8.0,yellow
1235,7.41,23.0,9.0,7.0,-80.0,yellow
679,7.09,19.0,8.0,8.0,67.0,orange
1030,7.15,20.0,8.0,8.0,-45.0,red
1211,8.06,27.0,8.0,7.0,49.0,yellow
1237,7.34,32.0,7.0,7.0,30.0,yellow
639,6.97,24.0,8.0,7.0,-10.0,orange
209,6.5,595.0,3.0,3.0,-115.0,green
600,7.01,34.0,8.0,7.0,62.0,orange
1269,7.6,35.0,9.0,7.0,-124.0,yellow
26,6.7,28.0,9.0,6.0,-60.0,green
155,6.5,576.0,4.0,1.0,-117.0,green
36,7.3,165.0,8.0,7.0,-103.0,green
827,7.52,19.0,7.0,8.0,-23.0,red
708,8.28,21.0,8.0,7.0,-87.0,orange
594,6.61,34.0,8.0,8.0,51.0,orange
1126,7.76,22.0,8.0,7.0,-4.0,yellow
542,7.65,20.0,8.0,8.0,-54.0,orange
271,6.5,20.0,5.0,7.0,-111.0,green
58,6.7,10.0,6.0,6.0,62.0,green
808,7.88,44.0,9.0,7.0,93.0,red
379,6.5,17.0,6.0,7.0,-75.0,yellow
152,7.0,39.0,6.0,6.0,-10.0,green
1133,7.59,88.0,7.0,7.0,-115.0,yellow
1248,6.66,17.0,6.0,7.0,-98.0,yellow
634,7.19,10.0,8.0,8.0,0.0,orange
1152,6.86,9.0,3.0,8.0,-34.0,yellow
218,6.9,19.0,8.0,6.0,-31.0,green
1042,6.78,76.0,6.0,6.0,-106.0,yellow
1252,6.81,14.0,8.0,7.0,-70.0,yellow
321,6.7,130.0,5.0,5.0,-44.0,green
1124,6.68,20.0,7.0,7.0,-4.0,yellow
246,6.9,136.0,6.0,6.0,-121.0,yellow
136,6.8,570.0,3.0,3.0,-53.0,green
1285,8.23,18.0,9.0,7.0,2.0,yellow
40,6.9,51.0,8.0,6.0,-29.0,green
1047,7.19,21.0,7.0,7.0,-5.0,yellow
285,7.0,11.0,8.0,6.0,-9.0,green
1275,7.06,143.0,5.0,6.0,8.0,yellow
897,7.4,9.0,8.0,9.0,15.0,red
716,6.6,12.0,8.0,8.0,-12.0,orange
1234,6.67,15.0,7.0,7.0,-102.0,yellow
349,6.9,28.0,0.0,5.0,-36.0,green
71,7.4,43.0,3.0,7.0,75.0,green
580,8.04,20.0,8.0,7.0,-76.0,orange
180,6.5,90.0,8.0,7.0,-26.0,green
1065,6.5,14.0,8.0,7.0,-48.0,yellow
1246,6.9,108.0,5.0,6.0,44.0,yellow
46,6.6,7.0,1.0,3.0,-98.0,green
82,6.5,16.0,6.0,6.0,-94.0,green
182,7.0,10.0,4.0,6.0,3.0,green
663,6.83,27.0,8.0,8.0,58.0,orange
1179,7.91,23.0,8.0,8.0,41.0,yellow
404,6.8,12.0,0.0,7.0,-57.0,green
270,6.8,46.0,7.0,7.0,73.0,green
1175,7.2,141.0,5.0,6.0,-6.0,yellow
204,6.9,26.0,9.0,6.0,46.0,green
712,6.79,58.0,8.0,7.0,59.0,orange
1240,7.73,22.0,8.0,8.0,34.0,yellow
1259,6.54,14.0,6.0,7.0,-105.0,yellow
346,7.1,60.0,0.0,7.0,8.0,green
163,7.3,146.0,8.0,6.0,34.0,yellow
1219,6.75,12.0,8.0,7.0,-71.0,yellow
1267,6.5,10.0,6.0,7.0,-113.0,yellow
356,6.5,122.0,0.0,5.0,-118.0,green
96,6.5,2.0,7.0,8.0,40.0,green
323,6.9,13.0,0.0,4.0,-36.0,green
274,6.6,18.0,7.0,7.0,-97.0,green
146,6.5,10.0,2.0,4.0,-113.0,green
407,7.1,10.0,0.0,5.0,8.0,green
1161,7.29,23.0,8.0,7.0,-114.0,yellow
264,6.8,12.0,5.0,6.0,-53.0,green
150,6.7,461.0,0.0,3.0,-77.0,green
114,6.9,49.0,4.0,6.0,107.0,green
969,7.79,8.0,7.0,8.0,1.0,red
584,7.04,11.0,9.0,8.0,-3.0,orange
440,6.79,12.0,9.0,8.0,17.0,orange
157,6.5,68.0,3.0,6.0,-117.0,green
996,7.66,13.0,8.0,8.0,-8.0,red
1258,6.52,9.0,7.0,7.0,-103.0,yellow
79,7.0,21.0,8.0,7.0,-9.0,orange
322,6.8,101.0,6.0,6.0,-27.0,green
1224,7.45,36.0,7.0,7.0,36.0,yellow
1257,7.89,93.0,8.0,6.0,-52.0,yellow
390,6.5,10.0,0.0,6.0,-118.0,green
840,7.78,44.0,9.0,7.0,93.0,red
298,6.8,44.0,5.0,6.0,-54.0,green
553,6.84,56.0,8.0,7.0,57.0,orange
193,6.5,9.0,5.0,7.0,-61.0,yellow
107,6.5,577.0,0.0,2.0,-118.0,green
335,6.5,10.0,7.0,5.0,-74.0,green
1229,7.62,48.0,8.0,8.0,-124.0,yellow
222,6.5,13.0,9.0,8.0,-37.0,yellow
583,7.03,15.0,7.0,7.0,-27.0,orange
334,6.9,6.0,9.0,7.0,-73.0,green
1172,7.39,23.0,7.0,7.0,-81.0,yellow
90,7.0,73.0,6.0,7.0,52.0,green
445,6.57,12.0,8.0,7.0,-9.0,orange
884,7.31,9.0,8.0,8.0,22.0,red
1106,7.65,21.0,7.0,8.0,33.0,yellow
1128,6.69,12.0,6.0,7.0,-66.0,yellow
217,7.9,94.0,9.0,7.0,-52.0,yellow
227,6.5,10.0,6.0,7.0,-112.0,yellow
1090,6.74,12.0,8.0,7.0,-71.0,yellow
760,7.25,11.0,8.0,8.0,18.0,red
145,6.8,14.0,8.0,7.0,-70.0,yellow
382,7.3,385.0,0.0,4.0,52.0,green
1201,6.67,49.0,7.0,6.0,115.0,yellow
844,7.78,8.0,8.0,9.0,2.0,red
414,7.2,9.0,9.0,9.0,94.0,red
644,6.78,45.0,8.0,7.0,53.0,orange
571,6.68,10.0,7.0,8.0,-29.0,orange
767,7.08,32.0,8.0,8.0,75.0,red
216,6.7,152.0,5.0,5.0,-42.0,green
567,6.8,52.0,8.0,8.0,64.0,orange
327,6.5,20.0,0.0,4.0,-118.0,green
147,6.8,10.0,4.0,4.0,8.0,green
101,7.5,57.0,6.0,5.0,111.0,green
1089,7.18,26.0,7.0,7.0,-14.0,yellow
1111,7.45,76.0,7.0,7.0,-115.0,yellow
1071,7.06,144.0,6.0,6.0,35.0,yellow
395,6.6,31.0,0.0,5.0,-98.0,green
1158,6.5,8.0,8.0,7.0,-75.0,yellow
647,6.74,58.0,8.0,8.0,64.0,orange
1004,7.09,10.0,9.0,8.0,26.0,red
1046,6.5,11.0,7.0,7.0,-111.0,yellow
344,6.6,135.0,6.0,5.0,-91.0,green
976,6.62,14.0,8.0,8.0,36.0,red
337,6.5,10.0,4.0,6.0,70.0,green
1231,6.5,9.0,8.0,7.0,-29.0,yellow
922,7.58,34.0,8.0,7.0,71.0,red
25,7.3,41.0,9.0,8.0,93.0,red
637,6.95,44.0,8.0,7.0,58.0,orange
185,7.3,19.0,8.0,9.0,-26.0,red
1212,6.5,9.0,8.0,7.0,-31.0,yellow
313,6.6,614.0,1.0,3.0,-98.0,green
457,6.71,11.0,9.0,8.0,16.0,orange
484,6.81,42.0,8.0,7.0,-59.0,orange
834,7.0,9.0,9.0,9.0,27.0,red
187,6.8,10.0,5.0,5.0,-41.0,green
7,6.7,20.0,7.0,6.0,29.0,green
378,6.7,12.0,4.0,5.0,-53.0,green
170,6.8,559.0,5.0,3.0,-35.0,green
1110,6.56,14.0,6.0,7.0,-103.0,yellow
235,6.8,82.0,6.0,6.0,-43.0,yellow
607,6.71,10.0,7.0,8.0,-32.0,orange
1261,6.71,12.0,5.0,7.0,-42.0,yellow
1167,7.42,24.0,8.0,7.0,-81.0,yellow
99,6.5,10.0,7.0,6.0,-90.0,green
158,7.9,670.0,7.0,4.0,-45.0,green
86,6.9,26.0,4.0,4.0,-33.0,green
709,6.93,33.0,9.0,8.0,-88.0,orange
661,7.19,13.0,9.0,8.0,14.0,orange
1075,6.9,120.0,6.0,6.0,-110.0,yellow
1188,6.66,11.0,6.0,8.0,-36.0,yellow
97,6.6,107.0,4.0,6.0,-97.0,green
330,7.9,109.0,6.0,8.0,-61.0,green
232,6.9,596.0,2.0,3.0,-35.0,green
764,6.93,16.0,8.0,8.0,14.0,red
123,6.6,57.0,7.0,6.0,118.0,yellow
198,6.8,38.0,6.0,6.0,10.0,yellow
757,7.42,30.0,8.0,7.0,65.0,red
403,7.1,21.0,9.0,6.0,12.0,green
42,7.3,527.0,4.0,4.0,58.0,green
44,7.0,20.0,8.0,8.0,-56.0,red
610,8.17,23.0,9.0,8.0,-88.0,orange
906,7.23,20.0,9.0,8.0,48.0,red
1159,7.5,126.0,8.0,7.0,69.0,yellow
1182,7.09,142.0,5.0,6.0,-2.0,yellow
66,6.5,301.0,6.0,4.0,-116.0,green
1225,6.91,26.0,8.0,8.0,-127.0,yellow
1213,7.39,44.0,8.0,7.0,-124.0,yellow
794,7.54,8.0,8.0,8.0,13.0,red
81,6.9,10.0,0.0,3.0,-36.0,green
350,8.2,25.0,9.0,8.0,52.0,yellow
1284,6.5,9.0,7.0,7.0,-106.0,yellow
205,6.9,28.0,9.0,7.0,106.0,yellow
669,7.68,15.0,8.0,8.0,13.0,orange
952,7.05,20.0,8.0,8.0,-52.0,red
1281,7.0,42.0,6.0,6.0,27.0,yellow
102,7.0,143.0,5.0,6.0,2.0,yellow
189,6.7,24.0,3.0,4.0,-77.0,green
385,6.7,9.0,5.0,4.0,-58.0,green
420,6.98,23.0,8.0,7.0,-9.0,orange
365,6.8,35.0,0.0,6.0,-57.0,green
1083,6.55,9.0,8.0,7.0,-31.0,yellow
1200,6.53,9.0,8.0,7.0,-30.0,yellow
190,6.7,553.0,3.0,3.0,-74.0,green
283,7.0,48.0,9.0,7.0,-6.0,green
686,6.74,38.0,7.0,7.0,-20.0,orange
109,6.5,10.0,9.0,7.0,-35.0,green
398,6.5,29.0,3.0,6.0,-117.0,green
371,7.1,40.0,8.0,7.0,75.0,green
257,6.7,55.0,8.0,7.0,-21.0,orange
181,6.5,17.0,1.0,5.0,-117.0,green
13,7.6,116.0,8.0,8.0,-59.0,yellow
1199,7.6,137.0,7.0,6.0,-24.0,yellow
1256,7.17,45.0,7.0,6.0,-115.0,yellow
1162,6.5,17.0,7.0,7.0,-125.0,yellow
750,7.57,16.0,5.0,8.0,-30.0,red
19,6.9,10.0,2.0,5.0,-35.0,green
1033,7.18,144.0,6.0,6.0,21.0,yellow
1298,7.04,51.0,7.0,6.0,-115.0,yellow
514,6.74,11.0,9.0,8.0,15.0,orange
919,7.2,9.0,9.0,8.0,52.0,red
22,7.0,10.0,6.0,4.0,-5.0,green
256,6.5,13.0,3.0,6.0,-117.0,green
630,6.79,46.0,8.0,7.0,53.0,orange
143,6.8,540.0,0.0,3.0,-57.0,green
433,6.83,17.0,7.0,7.0,-7.0,orange
3,7.3,37.0,5.0,5.0,65.0,green
1064,6.92,27.0,9.0,7.0,65.0,yellow
78,6.7,10.0,5.0,5.0,8.0,green
1107,6.95,29.0,9.0,7.0,67.0,yellow
388,7.4,173.0,0.0,6.0,74.0,green
1041,6.69,63.0,5.0,6.0,-111.0,yellow
1131,6.54,9.0,8.0,7.0,-30.0,yellow
1173,7.13,27.0,5.0,6.0,-39.0,yellow
590,6.8,46.0,8.0,7.0,53.0,orange
358,6.5,187.0,0.0,4.0,-118.0,green
756,7.56,8.0,8.0,9.0,10.0,red
1112,7.7,19.0,8.0,7.0,28.0,yellow
758,7.11,9.0,9.0,9.0,63.0,red
1143,7.7,16.0,8.0,7.0,24.0,yellow
112,6.5,12.0,7.0,7.0,-112.0,yellow
427,6.72,44.0,7.0,7.0,-20.0,orange
1194,6.63,11.0,8.0,6.0,-35.0,yellow
920,6.8,12.0,8.0,8.0,32.0,red
287,6.7,12.0,4.0,5.0,-77.0,green
985,7.29,36.0,9.0,8.0,93.0,red
389,6.8,602.0,0.0,3.0,-57.0,green
1022,7.64,15.0,5.0,8.0,-34.0,red
754,7.23,10.0,9.0,8.0,94.0,red
108,6.6,10.0,4.0,4.0,-95.0,green
1056,7.45,24.0,8.0,7.0,-81.0,yellow
1029,7.2,10.0,9.0,8.0,26.0,red
